,Dates,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_VOLUME,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_TO_EBITDA,PX_TO_FREE_CASH_FLOW
787,787,119.98,120.28,118.9,120.84,22035465,70.7529,7.25,17.1602,13.1203,36.3198,46.9941
788,788,120.38,119.81,119.68,120.64,18124286,70.4765,7.2216,17.0932,13.069,36.1779,46.8104
789,789,119.38,118.67,117.35,119.61,31247834,69.8059,7.1529,16.9305,12.9447,35.8337,46.365
790,790,118.82,117.35,117.2,119.01,21328648,69.0294,7.0734,16.7422,12.800699999999999,35.4351,45.8493
791,791,116.8,117.65,116.73,118.27,21642299,69.2059,7.0914,16.785,12.8334,35.5257,45.9665
792,792,117.05,116.81,115.88,117.49,20544109,68.7118,7.0408,16.6651,12.7418,35.272,45.6383
793,793,116.96,117.35,116.95,117.99,18944831,69.0294,7.0734,16.7422,12.800699999999999,35.4351,45.8493
794,794,117.42,115.97,115.94,117.6,20441004,68.2176,6.9902,16.5453,12.6501,35.0184,45.3101
795,795,116.24,117.7,116.12,117.73,20183627,69.2353,7.0945,16.7921,12.8389,35.5408,45.9861
796,796,118.13,117.89,117.38,118.665,20035494,69.3471,7.1059,16.8192,12.8596,35.5982,46.0603
797,797,118.24,119.47,117.92,119.76,18481340,70.2765,7.2011,17.0446,13.0319,36.0753,46.6776
798,798,119.56,119.38,119.01,119.85,13493563,70.2235,7.1957,17.0318,13.0221,36.0481,46.6424
799,799,119.46,118.81,118.121,120.1,23547597,69.8882,7.1614,16.9505,12.9599,35.876,46.4197
800,800,118.5,118.78,117.82,119.08,15029494,69.8706,7.1595,16.9462,12.9567,35.8669,46.408
801,801,118.69,118.93,118.22,119.44,13227922,69.9588,7.1686,16.9676,12.973,35.9122,46.4666
802,802,118.975,118.47,117.86,118.98,14135114,69.6882,7.1409,16.902,12.9228,35.7733,46.2869
803,803,118.62,118.79,118.36,119.43,12744676,69.8765,7.1602,16.9476,12.957699999999999,35.8699,46.4119
804,804,119.24,117.76,117.67,119.3,17103023,69.2706,7.0981,16.8007,12.8454,35.5589,46.0095
805,805,117.76,118.39,117.27,118.6,14505596,69.6412,7.136,16.8906,12.9141,35.7491,46.2556
806,806,118.13,118.56,117.71,118.68,13859240,69.7412,7.1463,16.9148,12.9327,35.8005,46.3221
807,807,117.54,116.62,116.26,118.11,18510826,68.6,7.0294,16.638,12.721,35.2147,45.5641
808,808,115,113.95,113.31,115.48,31718239,67.0294,6.8684,16.2571,12.4298,34.4084,44.5209
809,809,114.07,114.94,113.58,114.95,17618479,67.6118,6.9281,16.3984,12.5378,34.7074,44.9077
810,810,115.3,114.6,114.07,115.44,19819432,67.4118,6.9076,16.3499,12.5007,34.6047,44.7749
811,811,113.87,114.39,112.94,114.5,19236255,67.2882,6.8949,16.3199,12.4778,34.5413,44.6928
