-60	-90	74.8896	47.1293	32.9968	31.8612	4.0379	-0.187	-0.14	73.19709176655532	23.324818235409708	10.571821575948123	0.6288072312831597	10.7101	77.8322
31	0	71.6735	41.5638	25.583	24.2112	14.8834	0.7888	0.5903	71.67352537722908	41.56378600823045	25.58299039780521	14.883401920438958	10.3876	77.9793
115	91	74.3519	43.6845	30.9983	30.0607	18.257	4.3105	3.6082	73.15805564047693	42.73922347905839	28.58453072454907	16.78385814735555	10.575	78.536
213	183	74.8512	50.0992	36.5079	36.0119	20.9325	7.5968	6.6772	73.8176314793795	45.57321225879682	31.630722663639805	18.369277336360195	10.7205	87.377
304	275	81.0058	54.4294	43.8298	43.7137	20.1161	10.9458	9.0309	76.1814024390244	48.46290650406504	35.61991869918699	18.940548780487802	11.8818	86.4487
388	365	81.5348	53.5172	42.9656	42.9656	25.5396	13.3889	11.1842	81.5347721822542	53.5171862509992	42.965627498001595	25.539568345323744	13.5583	87.9598
479	456	83.7457	56.5979	47.7663	47.6289	27.079	15.4357	12.9833	82.70509977827051	55.155210643015515	45.52845528455284	26.367331855136733	12.8147	88.3336
576	548	82.3603	52.6382	43.6154	41.7109	25.039	16.0357	14.0538	82.57690075449797	54.21938479396402	44.817179338363324	25.873476494486358	13.0592	87.8039
668	640	83.0434	40.6648	29.4209	28.927599999999998	18.0732	11.3447	10.0725	82.72902294240335	50.03208727739451	40.06096582704958	23.463821594737684	9.5997	89.8268
752	730	81.5411	39.2323	26.3336	26.3054	14.3664	10.3064	9.1587	81.54106689246402	39.23228902060401	26.333615580016932	14.366356195314706	8.5934	89.2732
850	821	83.4735	42.8501	31.4943	31.4943	17.6893	9.419	8.3884	82.55997890851569	41.15475876614817	29.079883996836276	16.134985499604536	9.0117	89.3995
948	913	84.0036	43.2126	32.415	31.8152	19.7956	8.9725	7.9567	83.09754281459419	41.921072226358895	30.32183337470009	17.49813849590469	10.6802	89.1347
1032	1005	85.8928	53.1245	43.8281	43.7768	26.6222	9.1391	8.1928	84.008255243195	45.57117358322177	34.72222222222222	20.465194109772423	11.2478	89.4974
1119	1096	84.4296	47.6031	37.3467	38.3872	32.1813	11.5604	10.4016	84.429580081754	47.60312151616499	37.34671125975474	32.18134522482349	13.1631	90.5425
1214	1187	85.752	51.5693	42.4798	42.7906	35.3636	14.3686	12.924900000000001	85.1497715349467	49.75461160940938	40.13369436452868	33.914367913352514	12.2162	90.3909
1312	1279	85.9221	52.8883	44.4587	45.1291	37.3698	17.1309	15.4188	85.43735726804398	50.92145095331669	41.744118115672634	35.201019703648626	11.687100000000001	90.6844
1403	1371	88.1144	58.8035	51.8334	51.4587	40.4246	19.7056	17.8179	86.29061437151748	53.43729647586656	44.96345611115131	36.86229104855634	11.9656	91.1224
1494	1461	85.5702	49.7759	41.4218	42.4303	38.0852	21.065	19.068	85.57021912350598	49.77589641434263	41.42181274900398	38.0851593625498	12.6127	90.5027
1578	1552	86.7289	55.0263	47.216	48.1493	41.7337	22.4706	20.2652	86.19835186999366	52.60761827926007	44.53984901746096	40.04494900017288	12.3089	90.0302
1676	1644	85.9799	57.0778	49.5933	50.6971	45.5461	24.2797	21.9424	86.11683103934106	54.27188324121238	46.42534590513348	42.093854990787904	13.3746	90.139
1767	1736	87.5809	63.2516	56.6759	57.5239	32.8862	23.8414	21.2985	86.58401593978304	57.13723464442969	49.69620938184144	39.16070154724128	12.9157	87.9596
1851	1826	83.896	53.4682	45.5374	46.8828	41.6764	25.5307	22.64	83.89603877653352	53.46815978606051	45.53735584155106	41.67641651345479	9.9119	87.2674
1942	1917	83.2666	52.1276	44.3126	44.3504	38.5912	26.1382	23.2286	83.56550382982101	52.76818668889154	44.898202166924634	40.052387188951066	10.6709	87.918
2039	2009	82.3851	50.1785	42.1141	43.0684	37.4226	25.7288	22.7425	83.14921385263591	51.85232761278389	43.913780700852946	39.12496146336451	8.998	86.9013
2131	2101	83.4693	53.4764	46.2339	47.1266	40.6882	27.9062	24.3179	83.2461764389842	52.34428167197965	44.61656936136681	39.59848132096422	7.194	86.4313
2215	2191	81.3225	32.6192	22.0004	23.0948	16.1106	23.8266	19.7095	81.3225442727333	32.619221330503414	22.000397957153282	16.110632088611794	5.3795	79.0266
2306	2282	80.4157	37.9131	27.3955	28.6154	15.4921	20.2969	16.4633	80.84347526827895	35.41594969183118	24.850608516096738	15.78387510559084	4.4658	75.8611
2404	2374	82.1267	50.4136	40.7036	41.5194	34.506	20.6698	16.6164	81.29799455809736	40.751788773556385	30.49077899828681	22.44482515368336	4.6578	75.551
2495	2466	83.4361	50.5028	42.0169	43.4921	34.8591	19.9643	16.0244	81.93699874110642	43.659561226077486	33.92788944368219	26.14679547929898	4.3995	75.7663
2586	2557	80.4984	44.145	33.2243	33.0439	27.6371	21.8517	16.912	80.49839318937813	44.14500761120821	33.224333314540225	27.637142696059087	4.6021	76.1027
2677	2648	79.5098	42.8694	31.9099	32.8089	27.7091	23.6134	18.3251	79.99066523899734	43.49174971858441	32.550860719874805	27.677566372896244	6.0249	79.0652
2769	2740	80.4658	46.9958	37.4476	37.8808	36.544	23.8747	18.6631	80.16685955124107	44.791252828493946	34.3668491872938	30.965747154232808	5.509	80.397
2859	2832	81.4406	53.4091	45.508	46.5054	39.9651	25.416	19.9151	80.58279532367824	47.60542081079509	38.00500203571221	33.90449601582039	5.0511	80.5255
2950	2922	80.3943	52.3939	43.4756	43.9532	36.2883	28.2389	22.3522	80.39432960146728	52.39387107867487	43.47560276642085	36.28825799549119	6.0802	81.7359
